Listing Office - Office Name,Address,City,Property Type,County,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Price - Closed,Price - List, Price - Original , Tax - Gross Amount ,Lot - Acres,Year Built,Rooms - Total,Garage Capacity,Basement
Granite Northland Associates,668 NH ROUTE 118,Canaan,Single Family,NH-Grafton,3,2,1144,520, 198500, 199900,229900,4292,109,2007,5,0,Yes
Vanessa Stone Real Estate,157 Follensbee Rd,Canaan,Single Family,NH-Grafton,4,2,2304,275, 130000, 139900,145000,3410,1,1973,8,0,Yes
Vanessa Stone Real Estate,142 Wescott Road,Canaan,Single Family,NH-Grafton,4,2,2100,377, 349900, 349900,369500,6794,18,2003,8,4,No
Vanessa Stone Real Estate,16 Gould Rd,Canaan,Single Family,NH-Grafton,4,3,3221,409, 259900, 259900,264900,6379,2,1980,12,2,Yes
Granite Northland Associates,31 Codfish Hill Road,Canaan,Single Family,NH-Grafton,2,1,868,130, 70000, 79900,79900,1496,064,1983,4,0,No
Granite Northland Associates,136 SOUTH ROAD,Canaan,Single Family,NH-Grafton,3,2,1344,33, 210000, 210000,210000,4082,51,2007,5,2,Yes
RE/MAX Northern Edge Realty LLC,154 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,3,2,1944,201, 60000, 139900,189900,5624,34,1990,6,1,Yes
Cantlin Associates REALTORS,5 Hersey Way,Canaan,Single Family,NH-Grafton,3,2,2616,195, 180000, 189000,215000,3821,17,1989,7,6,Yes
Moosilauke Realty,25 Rogers Way,Canaan,Single Family,NH-Grafton,3,2,1972,0, 150000, 159900,159900,5800,27,1995,9,2,Yes
Granite Northland Associates,70 Wolfson Spring,Canaan,Single Family,NH-Grafton,3,2,0,269, 211000, 225000,265000,4505,1646,2004,8,0,Yes
Coldwell Banker RB/Center Harbor,60 Gould Road,Canaan,Single Family,NH-Grafton,0,0,600,129, 28000, 39500,39500,1099,1,1968,0,0,No
Vanessa Stone Real Estate,672 Goose Pond Road,Canaan,Single Family,NH-Grafton,2,1,1134,123, 219000, 244000,249000,5749,14,1978,4,0,Yes
Vanessa Stone Real Estate,60 Gristmill Hill Rd,Canaan,Single Family,NH-Grafton,3,2,1805,27, 170000, 188000,188000,3328,092,1995,6,1,Yes
Vanessa Stone Real Estate,835 Grafton Turnpike,Canaan,Single Family,NH-Grafton,2,1,968,62, 90000, 110000,110000, -   ,229,1988,5,0,No
Vanessa Stone Real Estate,355 Jones Hill Rd,Canaan,Single Family,NH-Grafton,2,1,1120,349, 184000, 189000,225000, -   ,507,2012,4,0,No
Granite Northland Associates,54 BLAIN ROAD,Canaan,Single Family,NH-Grafton,3,2,1188,20, 135000, 144900,144900,3237,505,2003,6,0,No
Granite Northland Associates,124 South Road,Canaan,Single Family,NH-Grafton,3,3,3686,271, 284900, 299000,299000,6995,266,1991,9,2,No
Granite Northland Associates,523 Switch Road,Canaan,Single Family,NH-Grafton,2,2,1536,48, 199000, 210000,210000,4058,3,2000,7,1,Yes
Granite Northland Associates,685 SOUTH ROAD,Canaan,Single Family,NH-Grafton,3,2,2080,161, 225000, 250000,285000,5688,63,1991,6,2,No
Granite Northland Associates,132 Follensbee Road,Canaan,Single Family,NH-Grafton,2,1,1280,303, 165000, 179900,179900,2916,7,1973,7,2,Yes
Coldwell Banker Redpath and Co/Quechee,302 Canaan Street,Canaan,Single Family,NH-Grafton,2,2,1374,143, 154500, 159000,179000,3356,385,2004,5,1,No
RE/MAX Northern Edge Realty LLC,159 Gould Rd,Canaan,Single Family,NH-Grafton,2,1,2309,44, 50001, 49900,104900,3725,96,1960,6,0,No
Granite Northland Associates,34 ROGERS WAY,Canaan,Single Family,NH-Grafton,3,2,1424,31, 58100, 38610,38610,3276,19,1994,6,0,Yes
Coldwell Banker Redpath and Company,165 HINKSON BROOK,Canaan,Single Family,NH-Grafton,3,2,2244,343, 193800, 199000,215000,5023,12,1973,6,2,Yes
Granite Northland Associates,52 EASTMAN,Canaan,Single Family,NH-Grafton,3,2,1104,83, 147000, 149000,158000,2025,143,1999,5,0,No
Vanessa Stone Real Estate,404 Jones Hill Road,Canaan,Single Family,NH-Grafton,3,3,2438,6, 227500, 239900,239900,4509,15,1991,10,2,Yes
Coldwell Banker Homes Unlimited,180 Canaan Street,Canaan,Single Family,NH-Grafton,2,1,915,19, 65000, 64900,64900,2380,5,2000,5,0,No
Vanessa Stone Real Estate,22 School Street,Canaan,Single Family,NH-Grafton,4,2,3078,58, 192000, 188800,188800,4038,017,2004,10,0,Yes
RE/MAX Northern Edge Realty LLC,154 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,3,2,1944,13, 119000, 99000,99000,5624,34,1990,6,1,Yes
Granite Northland Associates,1282 US Route 4,Canaan,Single Family,NH-Grafton,3,0,1248,166, 188000, 188000,188000,3940,055,2005,5,0,Yes
Granite Northland Associates,163 NH Route118,Canaan,Single Family,NH-Grafton,0,0,1120,363, 44000, 49900,85500,2051,125,2008,1,1,No
Vanessa Stone Real Estate,143 Back Bay Road,Canaan,Single Family,NH-Grafton,1,1,625,59, 29900, 34500,34500,955,069,1970,4,0,No
Four Seasons Sotheby's Int'l Realty,267 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,2,1,1404,5, 175000, 175000,175000,2864,2,1982,6,0,Yes
Vanessa Stone Real Estate,69 Blackwater Road,Canaan,Single Family,NH-Grafton,3,1,1316,10, 125000, 129900,129900,3100,081,1960,5,1,Yes
Granite Group Realty Services,78 Orange Rd,Canaan,Single Family,NH-Grafton,2,2,1096,239, 50000, 64900,83900,3109,114,1987,6,1,Yes
Granite Northland Associates,577 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,4,2,1952,232, 275000, 274000,349500,5972,203,2005,9,2,Yes
Coldwell Banker RB/Laconia Court St,48 Overlook Way,Canaan,Single Family,NH-Grafton,3,2,1344,23, 142000, 141780,141780,3557,21,1992,5,2,Yes
Vanessa Stone Real Estate,28 COLUMBIA LANE,Canaan,Single Family,NH-Grafton,3,2,2158,8, 186000, 189500,189500,3632,215,1999,7,0,Yes
Four Seasons Sotheby's Int'l Realty,20 Jerusalem Road,Canaan,Single Family,NH-Grafton,4,2,1800,33, 169000, 169000,169000,4022,35,1972,8,1,No
Vanessa Stone Real Estate,188 Jerusalem,Canaan,Single Family,NH-Grafton,2,2,1724,116, 190000, 188500,190000,4518,138,1987,9,2,Yes
Century 21 Shepard & Flint Realty,12 Nicks Lane,Canaan,Single Family,NH-Grafton,3,1,702,28, 45000, 49900,57900,1519,344,2005,5,0,No
Century 21 Energy Shield Realty/Lebanon,417 Choate Road,Canaan,Single Family,NH-Grafton,2,1,1050,9, 132000, 137900,137900,2698,154,1965,6,2,No
Vanessa Stone Real Estate,410 NH Route 118,Canaan,Single Family,NH-Grafton,3,2,960,489, 85000, 109000,119000,2726,31,2006,5,0,Yes
Granite Northland Associates,55 Gristmill Hill Road,Canaan,Single Family,NH-Grafton,2,1,1260,35, 160000, 177500,177500,3513,5,1987,5,1,Yes
Big Green Real Estate,1042 Goose Pond Road,Canaan,Single Family,NH-Grafton,3,1,823,31, 188400, 198900,198900,4499,021,1970,7,0,No
Vanessa Stone Real Estate,153 Roberts,Canaan,Single Family,NH-Grafton,3,1,1366,115, 79000, 89000,114500,2017,206,1982,7,0,No
Vanessa Stone Real Estate,317 West Farms Road,Canaan,Single Family,NH-Grafton,3,2,1075,43, 179900, 179900,179900,2527,04,1964,5,2,Yes
Granite Northland Associates,130 South Road,Canaan,Single Family,NH-Grafton,2,1,1884,11, 179900, 179900,179900,4123,266,1986,7,1,Yes
Granite Northland Associates,663 South Rd,Canaan,Single Family,NH-Grafton,2,1,1144,79, 188000, 193500,193500,4344,104,2006,5,0,Yes
Granite Group Realty Services,6 Serendipity Lane,Canaan,Single Family,NH-Grafton,2,1,906,71, 55000, 59900,101000,1472,102,1971,4,0,Yes
Century 21 Highview Realty,228 Canaan Street,Canaan,Single Family,NH-Grafton,3,2,1484,22, 151500, 159900,159900,4187,298,1978,6,2,Yes
Vanessa Stone Real Estate,26 Eringlen Way,Canaan,Single Family,NH-Grafton,2,1,1488,120, 190000, 199900,210000,3954,336,2006,5,0,No
Granite Northland Associates,21 Highland Ave,Canaan,Single Family,NH-Grafton,3,3,2564,42, 295000, 269999,269999,5432,277,2000,6,2,Yes
Granite Northland Associates,48 Pheasant Lane,Canaan,Single Family,NH-Grafton,3,2,2538,227, 269000, 269900,275000,5532,557,1997,9,2,Yes
Granite Northland Associates,265 JERUSALEM,Canaan,Single Family,NH-Grafton,3,1,1357,52, 124500, 129900,129900,3280,45,1980,6,0,No
Granite Northland Associates,10 Bruce Road,Canaan,Single Family,NH-Grafton,3,2,1064,136, 71250, 89000,95000,1714,028,2004,5,0,No
Vanessa Stone Real Estate,11 Egg Lane,Canaan,Single Family,NH-Grafton,2,1,640,177, 92000, 92000,109900,2441,141,1982,4,0,No
Granite Northland Associates,6 Hill View Drive,Canaan,Single Family,NH-Grafton,3,2,960,83, 93000, 99900,135000,2235,16,2000,5,0,No
Granite Northland Associates,17 Hemlock Lane,Canaan,Single Family,NH-Grafton,3,2,672,4, 83500, 89900,89900,1626,19,1964,5,2,No
Granite Northland Associates,103 Fernwood Farms Road,Canaan,Single Family,NH-Grafton,3,2,1862,122, 192500, 199900,235000,4450,119,2002,7,0,Yes
Coldwell Banker Redpath and Company,706 Goose Pond Rd,Canaan,Single Family,NH-Grafton,2,3,2086,8, 435000, 449000,449000,8983,338,2000,4,2,Yes
Vanessa Stone Real Estate,343 Nh Route 118,Canaan,Single Family,NH-Grafton,2,1,1020,173, 69000, 78000,85000,1822,52,1978,5,0,No
Big Green Real Estate,55 Cove Rd,Canaan,Single Family,NH-Grafton,3,2,1854,767, 459000, 475000,649000,10882,16,1987,7,2,No
Granite Northland Associates,280 Roberts Road,Canaan,Single Family,NH-Grafton,2,2,1680,1, 187500, 199000,199000,4241,3,1980,7,0,Yes
Granite Northland Associates,154 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,3,2,1944,35, 149900, 165000,165000,5925,34,1990,6,1,Yes
Vanessa Stone Real Estate,33 West Farms Road,Canaan,Single Family,NH-Grafton,2,2,1352,271, 149500, 149900,155000,3030,15,1997,5,0,No
Bean Group / Vermont,43 Beech Cobble Road,Canaan,Single Family,NH-Grafton,2,2,2186,41, 280000, 359000,359000,4927,2648,1986,6,3,No
Vanessa Stone Real Estate,10 Gould Road,Canaan,Single Family,NH-Grafton,2,1,952,15, 124900, 124900,124900,3068,15,1986,5,1,Yes
Vanessa Stone Real Estate,114 Canaan Street,Canaan,Single Family,NH-Grafton,3,3,2254,601, 272000, 275000,298900,7274,12,2003,9,2,Yes
Granite Northland Associates,80 Canaan Street,Canaan,Single Family,NH-Grafton,2,2,1424,77, 265000, 273900,265000,5932,288,2010,6,2,Yes
Century 21 Highview Realty,15 White Tail Lane,Canaan,Single Family,NH-Grafton,3,2,1040,16, 143000, 149900,149900,3220,36,2003,6,0,Yes
Vanessa Stone Real Estate,180 South Road,Canaan,Single Family,NH-Grafton,4,2,1674,187, 175000, 174900,179900,4114,564,2003,8,2,No
Vanessa Stone Real Estate,10 Cottage Lane,Canaan,Single Family,NH-Grafton,4,3,2240,27, 270000, 285000,285000,8105,222,1973,8,2,Yes
Four Seasons Sotheby`s Int`l Realty,208 Canaan Street,Canaan,Single Family,NH-Grafton,4,4,3168,52, 320000, 349000,349000,6317,73,1989,8,0,Yes
Vanessa Stone Real Estate,65 Eastman Road,Canaan,Single Family,NH-Grafton,2,1,1008,22, 125000, 134000,134000,2407,1209,2007,4,0,No
Granite Northland Associates,114 Graceville Road,Canaan,Single Family,NH-Grafton,3,1,1152,120, 73000, 75000,75000,2592,3,1962,5,0,Yes
Up Front Realty,6 Serendipity Lane,Canaan,Single Family,NH-Grafton,4,2,1780,84, 179353, 189900,193500,3100,102,1971,7,0,Yes
Granite Northland Associates,92 Moose Mountain Road,Canaan,Single Family,NH-Grafton,3,2,1560,140, 144000, 149900,159000,3486,216,1997,7,2,No
Granite Northland Associates,204 Roberts Road,Canaan,Single Family,NH-Grafton,3,3,2888,539, 285000, 284999,324900,8814,508,2006,8,2,Yes
Granite Northland Associates,839 US ROUTE 4,Canaan,Single Family,NH-Grafton,4,4,2740,35, 295500, 299000,299000,8778,346,2005,8,3,Yes
Granite Northland Associates,437 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,2,2,1692,144, 186000, 189500,189500,4505,163,1988,7,2,Yes
Moose Mountain Realty,180 Stevens,Canaan,Single Family,NH-Grafton,3,1,1393,13, 129000, 129000,129000,4382,501,1960,6,1,Yes
Granite Northland Associates,22 ENGLEHARDT LANE,Canaan,Single Family,NH-Grafton,3,2,1344,443, 186000, 189000,199000,4937,19,1980,7,3,Yes
Four Seasons Sotheby's Int'l Realty,101 Prospect Hill,Canaan,Single Family,NH-Grafton,3,3,2024,174, 330000, 344500,349500,8424,262,2002,6,2,Yes
Coldwell Banker Redpath and Company,43 Talbert Hill Rd,Canaan,Single Family,NH-Grafton,3,2,2430,5, 322000, 339000,339000,7575,11,2004,7,0,Yes
Four Seasons Sotheby's Int'l Realty,43 Pheasant,Canaan,Single Family,NH-Grafton,3,3,3587,157, 245000, 255000,285000,6816,384,2000,10,3,Yes
Granite Northland Associates,921 NH Route 118,Canaan,Single Family,NH-Grafton,2,3,1732,43, 107000, 115000,115000,2585,1411,2008,7,0,No
Vanessa Stone Real Estate,427 Choate Road,Canaan,Single Family,NH-Grafton,3,2,1272,100, 123000, 124000,145000,2625,165,2006,2,0,No
Century 21 Highview Realty,6 Pine Tree Lane,Canaan,Single Family,NH-Grafton,2,1,960,44, 107500, 115000,134900,3486,13,1983,5,1,No
Four Seasons Sotheby's Int'l Realty,91 Corno Road,Canaan,Single Family,NH-Grafton,3,3,2236,121, 495000, 549000,599000,11918,24,1999,9,2,Yes
Comp Agent,685 South Road,Canaan,Single Family,NH-Grafton,2,3,2160,0, 240000, 259900,259900,5516,63,1991,6,2,
Vanessa Stone Real Estate,722 Goose Pond Road,Canaan,Single Family,NH-Grafton,2,2,768,13, 225000, 229900,229900,4990,196,1971,6,0,No
Four Seasons Sotheby's Int'l Realty,1282 US Route 4,Canaan,Single Family,NH-Grafton,3,2,1576,291, 195000, 195000,210000,4608,055,2005,5,0,Yes
Four Seasons Sotheby's Int'l Realty,28 Crate Lane,Canaan,Single Family,NH-Grafton,3,3,3060,11, 215000, 224000,224000,3025,21,2000,8,0,Yes
BHG Masiello Group/Quechee,368 Jones Hill,Canaan,Single Family,NH-Grafton,3,2,1700,0, 194000, 194250,194250,4700,11,2010,5,0,No
Granite Northland Associates,541 West Farms Road,Canaan,Single Family,NH-Grafton,3,2,2176,46, 250000, 299000,299000,5420,73,1999,6,2,Yes
Coldwell Banker Redpath and Company,303 West Farms Road,Canaan,Single Family,NH-Grafton,4,3,4146,139, 610000, 559900,569000,9433,1469,2004,11,2,Yes
RE/MAX Upper Valley,404 Jones Hill Road,Canaan,Single Family,NH-Grafton,3,3,2438,25, 228500, 239000,239000,5751,15,1991,10,2,Yes
Granite Northland Associates,380 Ibey Road,Canaan,Single Family,NH-Grafton,3,1,1008,16, 129000, 129900,129900,2462,206,1987,6,2,No
Vanessa Stone Real Estate,50 Gristmill Hill Road,Canaan,Single Family,NH-Grafton,2,2,2220,117, 217000, 222900,235000,5061,176,1993,7,2,Yes
Vanessa Stone Real Estate,56 Strawbrook Lane,Canaan,Single Family,NH-Grafton,4,2,1094,331, 200000, 207500,225000,5150,111,2005,6,2,Yes
Granite Northland Associates,112 Graceville Road,Canaan,Single Family,NH-Grafton,2,1,984,116, 67900, 67900,69900,1626,32,1970,6,0,No
Granite Northland Associates,647 Fernwood Farms Road,Canaan,Single Family,NH-Grafton,3,3,2034,115, 201500, 205000,225500,6124,1993,1995,8,0,Yes
Four Seasons Sotheby's Int'l Realty,29 West Shore Rd,Canaan,Single Family,NH-Grafton,2,1,908,271, 209000, 215000,209900, -   ,247,1960,6,0,No
Granite Northland Associates,109 West Farms Road,Canaan,Single Family,NH-Grafton,2,1,1248,125, 133500, 140000,140000,3330,541,1985,5,2,No
Granite Northland Associates,17 Mountain View Drive,Canaan,Single Family,NH-Grafton,3,2,2659,187, 250000, 269900,269900,7519,3,1992,7,2,Yes
Coldwell Banker Redpath and Company,17 ANDREW LANE,Canaan,Single Family,NH-Grafton,3,2,1344,11, 198000, 199000,199000,5237,292,2007,5,1,Yes
RE/MAX Upper Valley,16 Wolfson Spring Road,Canaan,Single Family,NH-Grafton,3,2,1275,43, 182500, 184500,194500,5460,29,1987,6,2,No
Coldwell Banker Redpath and Company,632 Goose Pond Rd,Canaan,Single Family,NH-Grafton,2,3,2098,124, 370000, 379000,389000,8715,025,1988,8,1,Yes
Vanessa Stone Real Estate,118 Sawyer Hill Road,Canaan,Single Family,NH-Grafton,3,4,2560,167, 463450, 476900,476900,9847,627,2012,7,2,Yes
Vanessa Stone Real Estate,837 US Route 4,Canaan,Single Family,NH-Grafton,3,3,3019,151, 289900, 289900,289900,9290,274,2007,10,0,Yes
Keller Williams Realty-Metropolitan,91 Gould Road,Canaan,Single Family,NH-Grafton,2,3,1384,7, 220000, 234900,234900,6236,505,2006,7,2,Yes
Bean Group / Portsmouth,1038 Goose Pond Road,Canaan,Single Family,NH-Grafton,2,1,1539,118, 256000, 278000,308800,8000,047,1986,8,0,Yes
Granite Northland Associates,11 Birchwood Lane,Canaan,Single Family,NH-Grafton,2,1,1536,142, 65000, 110000,150000,4883,88,2007,4,0,Yes
Vanessa Stone Real Estate,26 Upper Gates Road,Canaan,Single Family,NH-Grafton,3,3,2816,9, 372500, 374900,374900,10221,288,2001,8,3,Yes
Vanessa Stone Real Estate,406 Cardigan Mountain Road,Canaan,Single Family,NH-Grafton,3,3,2575,64, 307000, 329000,339000,5562,58,1991,8,1,Yes
"Perfect Choice Properties, Inc",29 Nh Route 118,Canaan,Single Family,NH-Grafton,2,2,1440,113, 78475, 84000,105000,4198,022,2001,6,2,No
Vanessa Stone Real Estate,51 Mud Pond Road,Canaan,Single Family,NH-Grafton,2,1,1440,126, 220000, 229000,269000,4465,51,2012,6,0,Yes
Century 21 Highview Realty,32 Strawbrook Lane,Canaan,Single Family,NH-Grafton,3,2,2188,117, 172000, 174900,212500,5918,111,2003,6,1,Yes
Coldwell Banker LIFESTYLES - Hanover,309 West Farms Road,Canaan,Single Family,NH-Grafton,2,1,998,79, 147000, 139900,169900,3652,126,1979,5,1,Yes
Granite Northland Associates,000 Corno Road,Canaan,Single Family,NH-Grafton,0,0,1566,16, 65000, 69900,69900, -   ,354,1980,1,1,No
Coldwell Banker LIFESTYLES - Hanover,32 Boulder Drive,Canaan,Single Family,NH-Grafton,4,3,2194,189, 225500, 238500,238500,7218,122,2005,9,2,Yes
Granite Northland Associates,773 WEST FARMS ROAD,Canaan,Single Family,NH-Grafton,3,2,1588,88, 191000, 199900,199900,4800,584,2004,5,2,No
Roger Clarkson Realtor,255 Sands O'Time,Canaan,Single Family,NH-Grafton,1,1,1500,27, 355000, 360000,360000,9200,07,1980,3,0,Yes
LindeMac Real Estate,159 Sands Of Time Road,Canaan,Single Family,NH-Grafton,2,2,1502,152, 508000, 525000,525000,13365,027,2006,8,0,Yes
Granite Northland Associates,126 Tuttle Hill Road,Canaan,Single Family,NH-Grafton,3,2,1764,13, 200000, 225000,225000,4396,12,1986,7,3,Yes
Granite Northland Associates,42 Eringlen Way,Canaan,Single Family,NH-Grafton,4,5,2800,0, 320000, 335000,335000,9123,246,,9,2,Yes
Granite Northland Associates,361 Switch Road,Canaan,Single Family,NH-Grafton,3,2,1890,95, 140000, 149900,159900,4815,6,1999,7,2,No
Moseley Associates,318 Ibey Road,Canaan,Single Family,NH-Grafton,3,2,1586,18, 175000, 185000,185000,6363,55,2010,6,,Yes
Granite Northland Associates,37 West Shore Road,Canaan,Single Family,NH-Grafton,1,0,0,79, 71550, 79500,79500,3590,109,1960,1,,No
Lisa Berry Properties,66 Bear Pond Road,Canaan,Single Family,NH-Grafton,2,2,1120,20, 168000, 174500,174500,3640,166,2001,6,,Yes
Granite Northland Associates,6 Goose Pond Road,Canaan,Single Family,NH-Grafton,3,2,2612,34, 175900, 184900,184900,5809,11,1972,8,2,Yes
RE/MAX Upper Valley,162 May Street,Canaan,Single Family,NH-Grafton,3,2,2400,15, 259000, 259000,259000,8225,535,2001,7,2,No
Granite Northland Associates,326 Tuttle Hill Road,Canaan,Single Family,NH-Grafton,2,2,1620,60, 268000, 269500,275000,5269,226,2003,6,0,Yes
Coldwell Banker Redpath and Company,206 Rocky Hill Way,Enfield,Condo,NH-Grafton,2,2,761,416, 85000, 95000,119500,2075,0,1987,4,0,No
Vanessa Stone Real Estate,102 US Route 4,Enfield,Single Family,NH-Grafton,3,2,3148,523, 212000, 225000,289000,5633,425,1987,7,2,Yes
Four Seasons Sotheby's Int'l Realty,335 Bog Road,Enfield,Single Family,NH-Grafton,3,2,2496,375, 150000, 155000,225000,3486,54,2002,9,2,Yes
Vanessa Stone Real Estate,134 Jones Hill Rd,Enfield,Single Family,NH-Grafton,3,3,2152,512, 309900, 329000,339000,7607,329,2002,7,2,Yes
Moose Mountain Realty,28 Conant Drive,Enfield,Single Family,NH-Grafton,3,3,3015,500, 586250, 649000,899000,12419,505,2001,7,2,Yes
Vanessa Stone Real Estate,350 Lockehaven Rd,Enfield,Single Family,NH-Grafton,3,2,2827,520, 315000, 349900,374900,7319,151,1987,10,2,Yes
"Staggs-Warren Associates, LLC",9 Easy Street,Enfield,Single Family,NH-Grafton,3,2,1760,563, 223975, 247500,245000, -   ,233,2012,7,0,Yes
Granite Northland Associates,649 Shaker Hill Road,Enfield,Single Family,NH-Grafton,2,2,1064,365, 175000, 184000,197500,3687,8,1960,6,1,Yes
Vanessa Stone Real Estate,453 George Hill Rd,Enfield,Single Family,NH-Grafton,3,2,1596,120, 140000, 148900,169900,3530,05,1966,8,2,Yes
Four Seasons Sotheby's Int'l Realty,205 6 Rocky Hill Way,Enfield,Condo,NH-Grafton,2,2,1114,188, 120000, 129000,129000,2395,0,1987,5,0,No
RE/MAX Upper Valley,8 Meadow Lane,Enfield,Single Family,NH-Grafton,3,3,2718,259, 234000, 249000,299000,5348,178,2001,10,2,Yes
Coldwell Banker Redpath and Company,12 Birch Lane,Enfield,Single Family,NH-Grafton,3,3,2774,109, 482500, 529000,529000,9743,238,2007,8,2,Yes
Coldwell Banker Redpath and Company,26 Marsten Lane #21,Enfield,Condo,NH-Grafton,2,2,761,97, 90000, 95000,109000,1988,0,1987,4,0,No
Vanessa Stone Real Estate,19 Kluge Rd,Enfield,Single Family,NH-Grafton,2,2,924,123, 73000, 89900,99900,2001,055,1994,4,0,No
Century 21 Energy Shield Realty/Lebanon,3 Orchard Road,Enfield,Single Family,NH-Grafton,3,2,1376,125, 129000, 129900,129900,2815,148,2002,5,1,No
Granite Northland Associates,627 Shaker Hill,Enfield,Single Family,NH-Grafton,3,3,2224,95, 270000, 285000,285000,5427,48,2008,7,0,Yes
Martha E Diebold/Hanover,17 Even Chance Road,Enfield,Single Family,NH-Grafton,3,3,2764,146, 308500, 359000,359000,6717,19,1988,9,2,Yes
Roger Clarkson Realtor,50 Marsten Lane,Enfield,Single Family,NH-Grafton,3,2,1700,119, 210000, 233000,235000,3579,14,1981,7,2,No
Coldwell Banker Redpath and Company,78 ANDERSON HILL,Enfield,Single Family,NH-Grafton,3,3,1902,32, 230000, 259900,259900,6022,22,1990,7,2,Yes
Cantlin Associates REALTORS,139 Crystal Lake Road,Enfield,Single Family,NH-Grafton,2,2,2218,197, 215000, 215000,235000,4011,236,1982,8,0,No
Coldwell Banker Redpath and Company,15 Poplar Lane,Enfield,Single Family,NH-Grafton,3,3,2100,0, 450000, 477000,477000, -   ,244,2011,8,2,
Vanessa Stone Real Estate,80 Hawley Drive,Enfield,Single Family,NH-Grafton,2,2,1064,110, 270000, 299500,299500,5892,046,1968,6,0,Yes
Coldwell Banker Redpath and Company,111 Palmer Rd,Enfield,Single Family,NH-Grafton,3,2,1277,53, 203000, 210000,210000,4143,52,2003,5,0,Yes
Martha E Diebold/Hanover,17 Even Chance Road,Enfield,Single Family,NH-Grafton,3,3,2764,42, 308500, 349000,359000,6717,19,1988,9,2,Yes
Coldwell Banker Redpath and Company,206 Rocky Hill Way,Enfield,Condo,NH-Grafton,2,2,761,66, 93500, 99850,109000,2075,0,1987,4,0,No
Century 21 Highview Realty,33 Kluge,Enfield,Single Family,NH-Grafton,4,1,1536,48, 110000, 117900,117500,4011,161,1987,7,1,Yes
Coldwell Banker Redpath and Company,27 Shaker Landing #2,Enfield,Condo,NH-Grafton,2,2,1555,160, 169000, 169000,199900,4553,0,1986,6,0,Yes
Century 21 Energy Shield Realty/Lebanon,5 Turner,Enfield,Condo,NH-Grafton,2,1,1048,75, 68500, 66500,66500,2500,0,1988,4,0,No
RE/MAX Upper Valley,680 Methodist Hill Road,Enfield,Single Family,NH-Grafton,3,2,1300,3, 230000, 229900,229900,4627,56,2000,6,2,Yes
Four Seasons Sotheby's Int'l Realty,35 Landing Road,Enfield,Condo,NH-Grafton,2,3,1550,57, 175000, 185000,185000,4260,0,1985,6,0,No
Coldwell Banker Redpath and Company,33 MARSTEN LANE,Enfield,Condo,NH-Grafton,2,2,1024,18, 105000, 107500,107500,2514,0,1988,4,0,No
Coldwell Banker Redpath and Company,63 FITZGERALD DRIVE,Enfield,Single Family,NH-Grafton,3,5,3592,300, 283250, 289000,310000,8000,31,2002,8,2,Yes
Coldwell Banker Redpath and Company,14 Depot St,Enfield,Single Family,NH-Grafton,3,2,1510,4, 235000, 235000,235000,3483,021,1977,6,2,No
Four Seasons Sotheby`s Int`l Realty/NL,43 Landing Road,Enfield,Condo,NH-Grafton,2,3,1550,53, 197600, 210000,210000,4303,56,1985,5,0,No
Vanessa Stone Real Estate,10 Rollins Point Rd,Enfield,Single Family,NH-Grafton,3,4,4802,481, 583000, 665000,765000,15377,055,2002,11,2,Yes
Coldwell Banker Redpath and Company,190 Shaker Blvd,Enfield,Single Family,NH-Grafton,2,1,1122,139, 285000, 310000,359000,5044,06,1963,5,0,Yes
Cantlin Associates REALTORS,124 Anderson Hill Road,Enfield,Single Family,NH-Grafton,2,3,2172,96, 230000, 249000,299000,6591,28,1992,7,2,Yes
Vanessa Stone Real Estate,489 George Hill Road,Enfield,Single Family,NH-Grafton,3,3,2418,31, 270000, 270000,270000,5403,219,2006,8,2,Yes
Cantlin Associates REALTORS,69 May Street,Enfield,Single Family,NH-Grafton,2,2,988,14, 176000, 185000,185000,4023,239,1986,5,2,Yes
Newton Realty,352 Bog Road,Enfield,Single Family,NH-Grafton,2,2,1064,103, 57400, 84900,94900,2029,2029,1997,4,0,No
Century 21 Highview Realty,31 Alfano Drive,Enfield,Single Family,NH-Grafton,3,2,1880,252, 185000, 204900,209900,5023,308,1988,7,2,Yes
Coldwell Banker Redpath and Company,395 Route 4,Enfield,Single Family,NH-Grafton,2,1,1262,103, 175500, 189000,189000,3561,04,1968,6,2,Yes
Coldwell Banker Redpath and Company,27 Evenchance Rd,Enfield,Single Family,NH-Grafton,3,2,2785,13, 325000, 349900,349900,6638,3,1988,6,2,Yes
Patrick E Flanagan Real Estate,393 Shaker Blvd,Enfield,Single Family,NH-Grafton,3,2,1392,185, 243000, 245000,249000,5204,24,2004,5,0,Yes
Vanessa Stone Real Estate,135 King James Rd,Enfield,Single Family,NH-Grafton,3,2,1534,405, 205000, 205000,242500,4367,5,1987,7,0,No
Vanessa Stone Real Estate,11 Lacroix Lane,Enfield,Single Family,NH-Grafton,2,1,1443,275, 160000, 177700,177700,2974,025,1971,5,2,Yes
