Listing Office - Office Name;Address;City;Property Type;PropDummy;County;Bedrooms - Total;Baths - Total;SqFtTotFn;DOM;Price - Closed;Price - List; Price - Original ; Tax - Gross Amount ;Lot - Acres;Year Built;Rooms - Total;Garage Capacity;Basement
Coldwell Banker Redpath and Company;5 Woodmore Dr.;Hanover;Single Family;0;NH-Grafton;3;2;2.708;4;$472.000;$469.000;469.000;8.100;0,23;1965;7;1;Yes
Four Seasons Sotheby`s Int`l Realty;1 Balch Hill Lane;Hanover;Single Family;0;NH-Grafton;5;5;4.575;94;$960.000;$995.000;1.100.000;19.610;1,57;1984;11;2;Yes
Coldwell Banker Redpath and Company;5 Twin Brooks Dr;Hanover;Single Family;0;NH-Grafton;3;3;2.864;8;$760.000;$759.000;759.000;12.668;7,63;2001;8;2;Yes
Coldwell Banker Redpath and Company;2 Montview Dr;Hanover;Single Family;0;NH-Grafton;3;3;4.628;2;$710.000;$699.000;699.000;14.055;3,16;1987;13;2;Yes
Coldwell Banker Redpath and Company;27 Mulherrin Farm Rd;Hanover;Single Family;0;NH-Grafton;4;4;4.419;113;$541.000;$599.000;665.000;13.132;3;1988;11;2;Yes
Coldwell Banker Redpath and Company;7 Gile Dr.;Hanover;Condo;1;NH-Grafton;2;2;1.236;53;$250.000;$264.540;274.540;4.445;0;2008;6;1;No
Martha E. Diebold/Hanover;68 Greensboro Rd;Hanover;Single Family;0;NH-Grafton;3;2;2.149;4;$395.000;$398.900;398.900;7.352;0,63;1984;8;2;Yes
Four Seasons Sotheby`s Int`l Realty;49 Ferson;Hanover;Single Family;0;NH-Grafton;4;4;4.954;248;$1.400.000;$1.495.000;1.495.000;23.720;16;2002;13;2;Yes
Four Seasons Sotheby's Int'l Realty;4 Emily Lane;Hanover;Single Family;0;NH-Grafton;4;2;2.967;188;$500.000;$529.900;599.000;9.642;4,5;1986;10;2;Yes
Coldwell Banker Redpath and Company;15 Carriage Lane;Hanover;Single Family;0;NH-Grafton;4;3;2.352;4;$545.000;$549.000;549.000;9.922;3,15;1995;8;3;Yes
Four Seasons Sotheby`s Int`l Realty;18 College Hill;Hanover;Condo;1;NH-Grafton;2;2;1.360;51;$255.000;$268.000;268.000;4.428;0;1985;7;1;Yes
LindeMac Real Estate;10 Woodcock Lane;Hanover;Single Family;0;NH-Grafton;4;3;3.655;127;$590.000;$609.000;639.000;11.511;5,6;1977;12;2;No
Coldwell Banker Redpath and Company;42 RAYTON ROAD;Hanover;Single Family;0;NH-Grafton;4;2;2.668;4;$406.000;$399.900;399.900;7.244;0,96;1964;8;2;No
Coldwell Banker Redpath and Company;4 Etna Highlands;Hanover;Single Family;0;NH-Grafton;3;3;3.259;30;$572.000;$589.000;589.000;9.782;1,2;1989;9;2;Yes
Martha E. Diebold/Hanover;212 BROOK HOLLOW;Hanover;Condo;1;NH-Grafton;3;2;1.456;45;$260.000;$275.000;275.000;4.296;0;1974;6;0;No
Coldwell Banker Redpath and Company;5 Aurora Way;Hanover;Single Family;0;NH-Grafton;2;3;2.342;244;$470.000;$499.900;499.900;9.790;0,15;2002;8;2;No
Roger Clarkson Realtor;119 Brook Hollow;Hanover;Condo;1;NH-Grafton;3;2;1.664;241;$280.000;$295.000;305.000;4.900;0;1974;6;0;No
Coldwell Banker Redpath and Company;6 Willow Spring Circle;Hanover;Condo;1;NH-Grafton;2;2;1.478;7;$320.000;$310.000;310.000;5.518;0;1971;6;1;Yes
Coldwell Banker Redpath and Company;7 Courtyard;Hanover;Condo;1;NH-Grafton;2;2;1.368;10;$219.000;$219.000;219.000;3.774;0;1985;6;1;No
Martha E. Diebold/Hanover;00 Stonehurst Common;Hanover;Single Family;0;NH-Grafton;3;3;2.339;249;$526.515;$515.000;489.000; -   ;0;2013;7;2;No
Martha E. Diebold/Hanover;10 Stonehurst Common;Hanover;Condo;1;NH-Grafton;3;3;2.339;389;$568.754;$515.000;489.000; -   ;0;2013;7;2;No
Four Seasons Sotheby`s Int`l Realty;9 Ferson;Hanover;Single Family;0;NH-Grafton;4;5;4.400;186;$920.000;$949.000;949.000;15.067;36;1998;8;5;Yes
Bean Group / Vermont;322 Hanover Center Road;Hanover;Single Family;0;NH-Grafton;3;3;2.697;12;$428.000;$485.000;485.000;8.889;3,9;1977;9;2;Yes
Coldwell Banker Redpath and Company;16 Montview Dr;Hanover;Single Family;0;NH-Grafton;4;5;6.990;0;$899.000;$899.000;899.000;14.660;6,9;1992;13;2;Yes
Coldwell Banker Redpath and Company;15 Gile Hill;Hanover;Condo;1;NH-Grafton;2;2;1.236;265;$272.500;$275.000;275.000;4.445;21;2013;5;1;No
Coldwell Banker Redpath and Company;15 Gile Hill;Hanover;Condo;1;NH-Grafton;2;2;1.236;237;$275.000;$275.000;275.000;4.445;21;2013;5;1;No
Four Seasons Sotheby`s Int`l Realty;18 Grasse Road;Hanover;Single Family;0;NH-Grafton;4;3;2.815;47;$583.000;$649.000;669.000;10.500;0,91;1990;8;1;Yes
Coldwell Banker Redpath and Company;90 GREENSBORO ROAD;Hanover;Single Family;0;NH-Grafton;3;1;1.008;23;$245.000;$245.000;245.000;4.324;0,46;1965;5;0;Yes
Coldwell Banker Redpath and Company;14 Woodcock Lane;Hanover;Single Family;0;NH-Grafton;3;2;2.099;20;$409.000;$425.000;425.000;7.594;2,3;1977;8;2;Yes
Coldwell Banker Redpath and Company;9 Pine Dr;Hanover;Single Family;0;NH-Grafton;4;3;3.461;11;$840.000;$865.000;865.000;13.840;0,94;1969;12;2;Yes
Four Seasons Sotheby`s Int`l Realty;4 College Hill;Hanover;Condo;1;NH-Grafton;2;3;1.327;40;$235.000;$235.000;249.000;4.484;0;1985;7;1;Yes
Coldwell Banker Redpath and Company;15 Gile Hill;Hanover;Condo;1;NH-Grafton;2;2;1.236;134;$229.000;$229.000;229.000;4.445;21;2013;5;1;No
Coldwell Banker Redpath and Company;1 Wheelock Wood;Hanover;Condo;1;NH-Grafton;2;2;1.536;4;$320.000;$327.000;327.000;5.452;0;1986;6;1;Yes
Coldwell Banker Redpath and Company;15 Gile Dr;Hanover;Condo;1;NH-Grafton;2;2;1.386;0;$315.600;$309.000;309.000; -   ;0;2013;6;1;
Coldwell Banker Redpath and Company;50 Ferson Rd;Hanover;Single Family;0;NH-Grafton;3;3;2.282;8;$725.000;$725.000;725.000;13.182;10,1;1979;9;2;Yes
Coldwell Banker Redpath and Company;15 Gile Hill Dr. 3A;Hanover;Condo;1;NH-Grafton;2;2;1.386;0;$320.000;$309.000;309.000; -   ;0;2013;6;1;
Martha E. Diebold/Hanover;52 King Road;Hanover;Single Family;0;NH-Grafton;4;5;5.657;5;$1.250.000;$1.250.000;1.250.000;26.551;11,04;2000;14;3;Yes
Martha E. Diebold/Hanover;31 Dogford Rd;Hanover;Single Family;0;NH-Grafton;3;3;2.362;2;$580.000;$569.000;569.000;9.501;5,02;1986;8;2;Yes
Coldwell Banker Redpath and Company;9 Willow Spring;Hanover;Single Family;0;NH-Grafton;3;3;2.640;4;$484.500;$495.000;495.000;8.954;0,76;1964;9;2;Yes
Four Seasons Sotheby's Int'l Realty;21 Granite Lane;Hanover;Condo;1;NH-Grafton;3;3;1.790;5;$335.000;$339.000;339.000;5.636;21,8;2010;7;1;Yes
Four Seasons Sotheby`s Int`l Realty;35 Ferson Road;Hanover;Single Family;0;NH-Grafton;2;3;2.400;198;$860.000;$939.000;939.000;16.040;26,2;2014;6;2;Yes
Four Seasons Sotheby`s Int`l Realty;12 Woodmore Drive;Hanover;Single Family;0;NH-Grafton;3;3;1.626;2;$452.500;$429.000;429.000;7.204;0,21;1968;8;2;Yes
Coldwell Banker Redpath and Company;5 Fairview Ave Avenue;Hanover;Single Family;0;NH-Grafton;3;2;1.920;14;$501.000;$499.000;499.000;8.272;0,24;1968;7;1;Yes
Four Seasons Sotheby's Int'l Realty;163 Greensboro Road;Hanover;Condo;1;NH-Grafton;2;2;1.335;327;$290.000;$290.000;350.000;5.806;0,77;2005;5;1;Yes
Coldwell Banker Redpath and Company;16 Rayton Rd Road;Hanover;Single Family;0;NH-Grafton;4;2;2.160;3;$529.000;$529.000;529.000;8.057;0,81;1962;8;0;Yes
Coldwell Banker Redpath and Company;11 Grant Rd Road;Hanover;Single Family;0;NH-Grafton;4;2;2.392;7;$429.000;$429.000;429.000;7.275;2,34;1974;7;2;Yes
LindeMac Real Estate;4 Stevens Road;Hanover;Single Family;0;NH-Grafton;5;4;3.816;0;$799.999;$799.999;799.999;12.099;3;1988;10;2;Yes
Coldwell Banker Redpath and Company;112 King Road Road;Hanover;Single Family;0;NH-Grafton;3;2;2.312;65;$459.000;$475.000;485.000;7.602;3,76;1987;7;2;Yes
Home Seller Solution Services;120 Three Mile Road;Hanover;Single Family;0;NH-Grafton;2;2;1.987;14;$630.000;$649.000;649.000;9.882;10,4;2009;8;2;Yes
Martha E. Diebold/Hanover;9 Fern Lane;Hanover;Single Family;0;NH-Grafton;3;3;2.831;20;$615.000;$629.000;629.000;9.494;3,17;1986;7;2;Yes
Coldwell Banker Redpath and Company;11 Gile Dr.;Hanover;Condo;1;NH-Grafton;2;2;1.182;206;$260.000;$269.000;269.000;4.618;0;2010;5;1;No
Coldwell Banker Redpath and Company;5 Pingree Road Road;Hanover;Single Family;0;NH-Grafton;4;3;3.986;74;$747.500;$799.000;849.500;12.168;4,36;1988;11;2;Yes
Four Seasons Sotheby`s Int`l Realty;21 Kingsford Road;Hanover;Single Family;0;NH-Grafton;3;2;2.325;104;$425.000;$425.000;525.000;8.583;0,74;1964;6;2;Yes
Coldwell Banker Redpath and Company;5 Ledge Rd Road;Hanover;Single Family;0;NH-Grafton;3;3;3.902;16;$1.240.000;$1.295.000;1.295.000;16.914;0,87;1964;11;2;No
Coldwell Banker Redpath and Company;23 Granite Lane Lane;Hanover;Condo;1;NH-Grafton;2;2;1.158;48;$280.000;$289.000;289.000;4.624;0;2011;5;1;Yes
Four Seasons Sotheby`s Int`l Realty;50 Berrill Farms;Hanover;Condo;1;NH-Grafton;4;4;3.567;244;$472.500;$549.000;619.000;9.067;124;1989;10;2;Yes
Coldwell Banker Redpath and Company;21 Montview Dr. Drive;Hanover;Single Family;0;NH-Grafton;3;3;2.800;12;$575.000;$595.000;595.000;9.375;6,13;1986;10;2;Yes
Coldwell Banker Redpath and Company;6 Heneage Lane;Hanover;Single Family;0;NH-Grafton;4;4;3.440;23;$645.000;$699.000;699.000;13.242;1,01;1969;11;2;Yes
Coldwell Banker Redpath and Company;2 Granger Circle;Hanover;Single Family;0;NH-Grafton;5;4;2.636;2;$585.500;$589.000;589.000;10.169;0,34;1967;10;2;Yes
Coldwell Banker Redpath and Company;2 Aspen St. Street;Hanover;Single Family;0;NH-Grafton;3;3;2.180;7;$560.000;$559.000;559.000;8.451;2,07;1986;7;2;Yes
Coldwell Banker Redpath and Company;15 Willow Spring Circle;Hanover;Condo;1;NH-Grafton;2;4;1.550;1;$350.000;$350.000;350.000;5.771;0;1971;5;1;Yes
Coldwell Banker Redpath and Company;11 Pipers Lane Lane;Hanover;Single Family;0;NH-Grafton;3;4;3.119;4;$729.000;$729.000;729.000;12.064;4;1962;9;2;Yes
Coldwell Banker Redpath and Company;34 Carriage Lane;Hanover;Single Family;0;NH-Grafton;3;3;2.399;4;$600.000;$599.000;599.000;9.039;3,46;1986;9;2;No
LindeMac Real Estate;5 Thompson Terrace;Hanover;Single Family;0;NH-Grafton;5;5;4.361;133;$1.275.000;$1.400.000;1.400.000;17.315;0,52;1989;17;3;Yes
KCC Properties Realty, Inc.;18 Rayton Road;Hanover;Single Family;0;NH-Grafton;4;3;2.304;4;$452.000;$459.000;459.000;7.623;0,78;1960;10;1;Yes
Four Seasons Sotheby's Int'l Realty;12 Hayfield Lane;Hanover;Single Family;0;NH-Grafton;3;3;2.608;8;$750.000;$750.000;750.000;10.065;4,1;1979;7;2;Yes
Martha E. Diebold/Hanover;3 Ivy Pointe Way;Hanover;Single Family;0;NH-Grafton;3;3;2.998;5;$800.000;$825.000;825.000;12.691;0,43;1997;9;2;No
Coldwell Banker Redpath and Company;105 Brook Hollow Road;Hanover;Condo;1;NH-Grafton;3;2;1.664;13;$290.000;$299.000;312.000;4.708;1;1974;6;0;Yes
Coldwell Banker Redpath and Company;10 Reservior Road;Hanover;Single Family;0;NH-Grafton;4;2;2.060;3;$440.000;$439.000;439.000;7.122;0,18;1962;6;1;Yes
Martha E. Diebold/Hanover;6 LAKEVIEW DRIVE;Hanover;Single Family;0;NH-Grafton;3;5;4.263;75;$950.000;$985.000;1.100.000;18.468;3,8;1997;11;2;Yes
Coldwell Banker Redpath and Company;9 Berrill Farms;Hanover;Condo;1;NH-Grafton;3;3;1.680;30;$347.000;$359.500;359.500;6.268;0;1982;6;2;Yes
Coldwell Banker Redpath and Company;5 Lindy Lane;Hanover;Single Family;0;NH-Grafton;3;2;2.284;4;$499.000;$499.000;499.000;8.103;5,39;1986;7;2;Yes
Coldwell Banker Redpath and Company;194 Lyme Rd.;Hanover;Single Family;0;NH-Grafton;3;2;1.556;8;$309.000;$314.000;314.000;5.640;2;1965;7;2;Yes
Coldwell Banker Redpath and Company;5 Emily Lane;Hanover;Single Family;0;NH-Grafton;4;3;3.639;31;$664.000;$679.000;679.000;10.945;3,6;1984;9;2;Yes
Four Seasons Sotheby`s Int`l Realty;1 Wheelock Wood;Hanover;Condo;1;NH-Grafton;2;3;1.760;290;$350.000;$379.000;395.000;5.452;0;1986;7;1;Yes
Bean Group / Vermont;393 Dogford Road;Hanover;Single Family;0;NH-Grafton;3;2;2.186;161;$249.900;$255.000;339.000;6.215;3,15;1965;7;2;Yes
Coldwell Banker Redpath and Co./Quechee;25 Granite Lane;Hanover;Condo;1;NH-Grafton;2;3;1.185;86;$260.000;$277.500;285.000;4.593;21,8;2010;4;1;No
Martha E. Diebold/Hanover;3 BIRCHVIEW TERRACE;Hanover;Single Family;0;NH-Grafton;3;2;2.504;16;$394.000;$399.000;399.000;6.624;2;1975;9;2;Yes
Coldwell Banker Redpath and Company;10 HENEAGE LANE;Hanover;Single Family;0;NH-Grafton;4;2;2.470;83;$430.000;$465.000;489.000;8.634;1,11;1965;9;2;No
Coldwell Banker Redpath and Company;51 BERRILL FARMS;Hanover;Single Family;0;NH-Grafton;4;4;3.676;9;$575.000;$575.000;575.000;9.960;0;1989;10;2;Yes
Four Seasons Sotheby`s Int`l Realty;5 Willow Spring Circle;Hanover;Condo;1;NH-Grafton;2;2;1.550;8;$378.000;$385.000;385.000;6.300;0;1971;5;1;Yes
Comp Agent;130 Brook Hollow;Hanover;Condo;1;NH-Grafton;3;2;1.456;0;$300.000;$300.000;300.000;4.358;;1974;5;0;
Martha E. Diebold/Hanover;32 Ruddsboro Road;Hanover;Single Family;0;NH-Grafton;3;2;1.616;0;$599.000;$599.000;599.000;6.664;;1984;7;2;Yes
Four Seasons Sotheby`s Int`l Realty;10 Haskins Road;Hanover;Single Family;0;NH-Grafton;3;2;1.900;13;$465.000;$485.000;485.000;7.350;0,69;1972;7;1;Yes
A Non-NNEREN Agency;14 Stonehurst Common;Hanover;Condo;1;NH-Grafton;3;3;2.339;0;$494.900;$489.000;489.000;;;2014;7;2;
Coldwell Banker Redpath and Company;78 Ruddsboro Rd;Hanover;Single Family;0;NH-Grafton;2;1;1.332;248;$180.000;$219.000;245.000;5.834;2,2;1978;5;2;Yes
Roger Clarkson Realtor;18 Willow Spring;Hanover;Condo;1;NH-Grafton;2;2;1.550;266;$335.000;$350.000;350.000;5.379;0;1971;5;1;No
Roger Clarkson Realtor;9 Woodcock Lane;Hanover;Single Family;0;NH-Grafton;4;4;5.233;171;$865.000;$890.000;890.000;15.972;3,1;1980;16;3;Yes
LindeMac Real Estate;4 Rand Road;Hanover;Single Family;0;NH-Grafton;4;3;2.680;186;$600.000;$629.000;699.000;10.424;6,5;1970;11;2;Yes
Martha E. Diebold/Hanover;24 Stonehurst Common;Hanover;Condo;1;NH-Grafton;3;3;2.339;0;$511.126;$511.126;511.126;;;2014;7;2;
Greens at Hanover RE Brokerage Co., LLC;53 Lyme Road Street;Hanover;Condo;1;NH-Grafton;1;1;590;24;$169.000;$169.000;169.000;4.132;0;1984;3;0;No
Coldwell Banker Redpath and Company;00 King Road;Hanover;Single Family;0;NH-Grafton;4;4;4.550;12;$1.300.000;$1.400.000;1.400.000;22.064;15,3;1998;11;2;Yes
Martha E. Diebold/Hanover;544 Hanover Center Road;Hanover;Single Family;0;NH-Grafton;3;2;2.158;8;$364.000;$349.000;349.000;6.347;4,5;1966;8;1;Yes
Four Seasons Sotheby's Int'l Realty;43 Stevens Road;Hanover;Single Family;0;NH-Grafton;4;3;2.812;22;$850.000;$995.000;995.000;12.254;5,1;1985;11;2;Yes
Four Seasons Sotheby`s Int`l Realty;22 Willow Springs Circle;Hanover;Condo;1;NH-Grafton;2;2;1.550;1;$380.000;$410.000;410.000;;0;1971;5;1;No
Four Seasons Sotheby`s Int`l Realty;11 Willow Spring Circle;Hanover;Condo;1;NH-Grafton;2;2;1.550;22;$378.000;$399.000;399.000;5.984;0;1973;5;1;Yes
Coldwell Banker Redpath and Company;3 Dunster Terrace;Hanover;Single Family;0;NH-Grafton;3;2;1.556;1;$384.000;$379.000;379.000;6.280;0,66;1974;7;2;Yes
Greens at Hanover RE Brokerage Co., LLC;53 Lyme Road;Hanover;Condo;1;NH-Grafton;1;1;837;0;$280.000;$289.000;289.000;5.438;0;1984;3;0;No
Greens at Hanover RE Brokerage Co., LLC;53 Lyme Road;Hanover;Condo;1;NH-Grafton;2;1;793;259;$277.000;$299.000;299.000;5.443;0;1984;4;0;No
Greens at Hanover RE Brokerage Co., LLC;53 Lyme Road;Hanover;Condo;1;NH-Grafton;2;1;860;23;$295.000;$299.000;299.000;5.492;0;1984;4;0;No
Greens at Hanover RE Brokerage Co., LLC;53 Lyme Road;Hanover;Condo;1;NH-Grafton;1;1;596;747;$99.000;$99.000;199.000;4.057;0;1984;3;0;No
Greens at Hanover RE Brokerage Co., LLC;53 Lyme Road;Hanover;Condo;1;NH-Grafton;2;2;933;15;$350.000;$379.000;379.000;5.973;0;1984;4;0;No
Coldwell Banker Redpath and Company;34 Rip Road;Hanover;Single Family;0;NH-Grafton;5;3;2.394;3;$445.000;$445.000;445.000;;0,69;1961;8;1;Yes
C.G. Shepherd Realty, LLC;8 Dresden Road;Hanover;Single Family;0;NH-Grafton;3;3;1.740;7;$342.000;$334.000;334.000;6.434;0,21;1961;7;1;Yes
Four Seasons Sotheby`s Int`l Realty;11 River Ridge Road;Hanover;Single Family;0;NH-Grafton;4;5;4.555;119;$2.200.000;$2.400.000;2.400.000;42.000;0,44;2008;12;2;Yes
Big Green Real Estate;6 Dunster Drive;Hanover;Single Family;0;NH-Grafton;4;2;2.464;3;$595.000;$599.900;599.900;8.821;1;1962;9;2;Yes
Martha E. Diebold/Hanover;32 Stonehurst Common;Hanover;Condo;1;NH-Grafton;3;4;2.782;25;$530.000;$549.000;549.000;9.015;0;2006;9;2;No
Martha E. Diebold/Hanover;213 Brook Hollow;Hanover;Condo;1;NH-Grafton;1;1;864;100;$163.000;$169.000;169.000;3.341;5;1974;3;0;No
Martha E. Diebold/Hanover;53 Lyme Road Unit 22;Hanover;Condo;1;NH-Grafton;1;1;601;204;$150.000;$165.000;174.900;4.451;0;1984;3;0;No
Coldwell Banker Redpath and Company;160 Lyme Road;Hanover;Single Family;0;NH-Grafton;3;3;2.262;132;$466.000;$475.000;510.000;7.573;5,15;1988;7;2;Yes
Martha E. Diebold/Hanover;7 Pine Drive;Hanover;Single Family;0;NH-Grafton;4;3;2.763;35;$680.000;$725.000;725.000;12.293;0,99;1965;9;2;Yes
Martha E. Diebold/Hanover;5 Wolfeboro Road;Hanover;Single Family;0;NH-Grafton;3;4;3.786;100;$849.000;$849.000;899.000;14.727;3,06;2004;11;2;Yes
Martha E. Diebold/Hanover;9 Hayfield Road;Hanover;Single Family;0;NH-Grafton;4;3;4.902;235;$810.000;$899.000;995.000;12.714;5,21;1979;10;2;Yes
Snyder Donegan Real Estate Group;10 Purling Brooks Drive;Hanover;Single Family;0;NH-Grafton;4;3;2.722;48;$765.000;$825.000;825.000;13.524;1,52;2008;8;2;Yes
Coldwell Banker Redpath and Company;15 Gile Hill;Hanover;Condo;1;NH-Grafton;2;2;1.236;12;$271.000;$275.000;275.000;5.232;21;2013;5;1;No
Martha E. Diebold/Hanover;109 Blueberry Hill;Hanover;Single Family;0;NH-Grafton;3;3;4.158;61;$612.000;$630.000;630.000;11.927;2,04;1993;11;2;Yes
Coldwell Banker Redpath and Company;00 Off King Rd.;Hanover;Single Family;0;NH-Grafton;3;3;2.609;45;$825.000;$895.000;895.000;16.871;10,7;1990;10;2;Yes
Martha E. Diebold/Hanover;4 Emily Lane;Hanover;Single Family;0;NH-Grafton;4;2;2.967;11;$520.000;$530.000;530.000;10.562;4,5;1986;10;2;Yes
Coldwell Banker Redpath and Company;4 Partridge Rd;Hanover;Single Family;0;NH-Grafton;4;6;4.565;378;$550.000;$559.000;695.000;16.618;4,38;1976;15;2;Yes
Coldwell Banker Redpath and Company;418 Dogford Rd;Hanover;Single Family;0;NH-Grafton;4;3;3.158;45;$640.000;$650.000;650.000;11.692;3,07;2007;9;2;Yes
Roger Clarkson Realtor;1 Shadow Brook;Hanover;Condo;1;NH-Grafton;3;4;2.148;64;$489.500;$489.500;489.500;7.700;0;2007;7;2;Yes
Coldwell Banker Redpath and Company;8 Algonquin Trail;Hanover;Single Family;0;NH-Grafton;4;6;5.873;20;$1.246.000;$1.400.000;1.400.000;22.993;13,45;1993;14;4;Yes
Coldwell Banker Redpath and Company;2 Carriage Lane;Hanover;Single Family;0;NH-Grafton;3;3;2.596;79;$477.000;$477.000;550.000;9.864;3;1989;9;2;Yes
Martha E. Diebold/Hanover;272 Hanover Center Road;Hanover;Single Family;0;NH-Grafton;2;2;1.496;11;$415.000;$429.000;429.000;5.836;0,17;2011;6;0;Yes
Comp Agent;12 College Hill;Hanover;Condo;1;NH-Grafton;2;2;1.637;0;$319.000;$319.000;319.000;4.435;;1985;7;1;Yes
Coldwell Banker Redpath and Company;4 Etna Highlands;Hanover;Single Family;0;NH-Grafton;3;3;3.259;6;$609.000;$599.000;599.000;10.215;1,2;1989;9;2;Yes
Roger Clarkson Realtor;17 Shadow Brook;Hanover;Condo;1;NH-Grafton;2;3;2.000;73;$450.000;$450.000;450.000;6.643;0;2008;6;1;Yes
Roger Clarkson Realtor;2 Bacchus circle;Hanover;Single Family;0;NH-Grafton;3;3;2.816;52;$685.000;$700.000;700.000;11.000;;2002;7;2;No
Coldwell Banker Redpath and Company;15 Gile Hill;Hanover;Condo;1;NH-Grafton;2;2;1.236;18;$279.000;$279.000;279.000;4.500;21;2013;5;1;No
Coldwell Banker Redpath and Company;16 Rayton Road;Hanover;Single Family;0;NH-Grafton;4;2;2.160;5;$545.000;$550.000;550.000;8.356;0,81;1962;8;0;Yes
LindeMac Real Estate;1 Woodcock Lane;Hanover;Single Family;0;NH-Grafton;4;2;2.771;8;$550.000;$549.900;549.900;9.513;2;1976;12;2;Yes
KCC Properties Realty, Inc.;1 Claflin Circle;Hanover;Single Family;0;NH-Grafton;4;3;3.092;3;$710.000;$725.000;725.000;11.038;0,81;1962;8;2;Yes
Four Seasons Sotheby's Int'l Realty;42 Rennie Road;Hanover;Single Family;0;NH-Grafton;3;3;3.528;55;$635.000;$669.000;669.000;9.553;4;1996;10;2;Yes
Coldwell Banker Redpath and Company;16 College Hill;Hanover;Condo;1;NH-Grafton;2;4;1.677;65;$220.000;$229.000;235.000;4.350;0;1984;7;1;Yes
Martha E. Diebold/Hanover;7 Gile Drive;Hanover;Condo;1;NH-Grafton;2;2;1.232;19;$276.000;$275.000;275.000;4.668;21;2008;5;1;No
Coldwell Banker Redpath and Company;9 Shadow Brook Dr.;Hanover;Condo;1;NH-Grafton;3;4;2.576;44;$460.000;$499.000;499.000;7.918;0;2007;8;2;No
Martha E. Diebold/Hanover;10 Carriage Lane;Hanover;Single Family;0;NH-Grafton;3;3;2.744;1;$579.000;$579.000;579.000;10.852;3,06;1991;8;2;Yes
Coldwell Banker Redpath and Company;7 Shadow Brook Drive;Hanover;Condo;1;NH-Grafton;3;4;2.442;5;$440.000;$435.000;435.000;7.321;0;2007;7;2;Yes
Four Seasons Sotheby's Int'l Realty;39 Rayton Road;Hanover;Single Family;0;NH-Grafton;5;3;3.570;26;$761.000;$849.000;899.000;12.475;1,02;1964;11;2;Yes
RE/MAX Group One Realtors;20 Carriage Lane;Hanover;Single Family;0;NH-Grafton;4;4;4.250;26;$890.000;$930.000;930.000;14.549;3,69;1995;13;2;Yes
Coldwell Banker Redpath and Company;39 CARRIAGE LANE;Hanover;Single Family;0;NH-Grafton;3;3;2.912;10;$700.000;$725.000;725.000;11.912;7,36;1985;9;2;Yes
LindeMac Real Estate;1 Twin Brooks Drive;Hanover;Single Family;0;NH-Grafton;3;4;3.507;32;$770.000;$799.000;799.000;13.696;9,8;2001;13;2;Yes
Moseley Associates;163 Greensboro Road;Hanover;Condo;1;NH-Grafton;2;2;1.350;14;$327.000;$329.000;329.000;6.040;0;2005;4;0;Yes
Coldwell Banker Redpath and Company;288 Hanover Center Road;Hanover;Single Family;0;NH-Grafton;3;3;3.132;170;$430.000;$475.000;545.000;9.854;5,9;1986;10;2;Yes
Coldwell Banker Redpath and Company;9 Mitchell Lane;Hanover;Single Family;0;NH-Grafton;3;3;2.573;5;$460.000;$470.000;470.000;7.984;0,37;1960;6;1;Yes
Coldwell Banker Redpath and Company;112 King Road Rd;Hanover;Single Family;0;NH-Grafton;3;2;2.312;59;$565.000;$575.000;589.000;8.264;3,76;1987;7;2;Yes
Bassette Real Estate Group;8 Lewin Road;Hanover;Single Family;0;NH-Grafton;6;6;5.448;197;$2.150.000;$2.275.000;2.275.000;37.374;0,3;2001;17;2;Yes
Coldwell Banker Redpath and Company;64 Greensboro Rd;Hanover;Single Family;0;NH-Grafton;4;2;2.716;324;$409.000;$435.000;449.000;8.241;0,47;1980;9;2;Yes
Coldwell Banker Redpath and Company;101 Brook Hollow;Hanover;Condo;1;NH-Grafton;3;2;1.535;30;$290.000;$309.000;309.000;4.730;7;1975;6;0;Yes
Coldwell Banker Redpath and Company;2 Balch Hill Lane;Hanover;Single Family;0;NH-Grafton;4;3;2.890;4;$630.000;$639.000;639.000;12.310;0,68;1980;9;2;Yes
Coldwell Banker Redpath and Company;1 Grant Road;Hanover;Single Family;0;NH-Grafton;4;3;2.894;2;$780.000;$780.000;780.000;13.228;5,87;2004;10;2;Yes
Coldwell Banker Redpath and Company;30 Rip Rd;Hanover;Single Family;0;NH-Grafton;5;5;4.409;2;$1.075.000;$1.070.000;1.070.000;16.024;0,69;1965;13;2;Yes
Coldwell Banker Redpath and Company;12 Rayton Road;Hanover;Single Family;0;NH-Grafton;4;4;2.620;92;$370.000;$450.000;450.000;7.813;0,82;1962;8;2;No
Martha E. Diebold/Hanover;210 Brook Hollow;Hanover;Condo;1;NH-Grafton;3;2;1.456;3;$290.000;$295.000;295.000;4.730;0;1974;6;0;No
Roger Clarkson Realtor;3 Ferson Road;Hanover;Single Family;0;NH-Grafton;3;2;2.929;5;$780.000;$775.000;750.000;12.351;19;1998;8;3;Yes
LindeMac Real Estate;3 Hilltop Drive;Hanover;Single Family;0;NH-Grafton;4;2;1.864;135;$505.000;$529.000;579.000;9.420;0,45;1970;8;1;Yes
LindeMac Real Estate;28 Old Dana Road;Hanover;Single Family;0;NH-Grafton;3;3;2.156;216;$425.000;$439.000;439.000;8.489;4,88;1996;8;2;Yes
Coldwell Banker Redpath and Company;28 Thompson Road;Hanover;Single Family;0;NH-Grafton;2;2;2.400;146;$475.000;$585.000;585.000;9.785;66,24;1989;7;2;No
